MSSubClass,LotArea,OverallQual,OverallCond
20,11622,5,6
20,14267,6,6
60,13830,5,5
60,9978,6,6
120,5005,8,5
60,10000,6,5
20,7980,6,7
60,8402,6,5
20,10176,7,5
20,8400,4,5
120,5858,7,5
160,1680,6,5
160,1680,5,5
160,2280,6,6
120,2280,7,6
60,12858,9,5
20,12883,8,5
20,11520,9,5
20,14122,8,5
20,14300,9,5
60,13650,8,5
120,7132,8,5
20,18494,6,5
120,3203,7,5
80,13300,7,5
60,8577,7,5
60,17433,8,5
20,8987,8,5
20,9215,7,5
20,10440,6,5
60,11920,7,5
30,9800,5,5
20,15410,6,6
60,13143,8,5
60,11134,8,5
120,4835,7,5
160,3515,7,5
160,3215,7,5
160,2544,7,5
160,2544,6,5
160,2980,6,5
160,2403,7,5
20,12853,8,5
60,7379,8,5
20,8000,7,5
20,10456,6,6
60,10791,6,5
50,18837,6,5
60,9600,6,6
20,9600,5,5
20,9900,5,5
20,9680,5,6
80,10600,6,5
90,13260,5,6
50,9724,5,7
50,17360,6,6
85,11380,6,8
90,8267,5,5
20,8197,7,5
20,8050,5,5
20,10725,5,5
20,10032,6,5
50,8382,4,5
20,10950,5,7
20,10895,5,6
190,13587,5,5
30,7898,4,7
50,8064,6,8
20,7635,5,6
20,9760,6,7
50,4800,4,5
30,4485,5,7
20,5805,5,7
45,6900,6,7
50,11851,5,7
50,8239,5,6
30,9656,2,2
70,9600,8,9
70,9000,8,9
190,9045,5,3
70,10560,6,7
50,5830,5,6
75,7793,7,7
30,5000,4,7
50,6000,6,7
50,6000,6,6
50,6360,5,6
50,6000,6,7
50,6240,5,7
50,6240,5,5
30,6120,6,5
50,8094,4,5
70,12900,6,8
70,3068,6,8
20,15263,5,5
50,10632,5,3
190,9900,5,4
50,6001,6,5
70,6449,4,1
190,6048,5,7
90,10773,4,3
20,7800,5,7
20,7832,5,5
90,7424,5,5
60,11227,5,5
20,20062,7,7
30,9259,4,4
60,17082,6,5
50,18600,3,4
20,11479,6,7
50,9350,4,6
20,9525,5,7
20,17485,7,5
20,11200,5,3
20,11980,7,5
60,12361,6,7
20,7360,7,5
50,14235,6,8
85,11105,5,5
60,9337,7,5
20,15240,5,8
20,7480,5,6
20,10389,8,5
60,9375,7,5
120,4435,6,5
30,8777,3,6
20,8842,5,6
20,10044,5,6
50,11792,4,5
80,6305,6,6
20,6410,4,5
30,4853,5,6
30,7890,6,6
90,7200,4,6
50,9839,5,2
50,10452,7,6
90,15600,5,6
80,19645,7,6
120,3907,8,6
120,3907,8,5
30,8154,2,5
50,9140,6,5
30,8712,4,7
120,3811,8,5
60,11050,8,5
80,9620,6,7
90,12760,6,5
20,11896,7,5
20,9803,7,5
60,9802,5,5
20,15300,5,5
20,10114,5,5
20,11875,5,5
120,2394,5,6
160,1476,4,7
160,1900,4,4
160,1890,4,6
20,6953,5,7
20,12887,5,7
90,7700,5,2
60,10475,5,5
50,10544,5,5
20,9892,8,5
60,12961,6,5
20,13008,6,5
20,10200,6,5
60,10179,6,5
60,11792,8,5
80,8400,7,5
120,7296,8,5
120,7380,8,5
120,8013,8,5
80,8923,7,5
60,7500,6,5
60,8803,6,5
20,7250,6,5
60,11900,5,6
60,13250,7,6
20,10928,6,6
60,12388,7,7
20,11088,6,5
60,7000,7,5
60,7500,8,5
60,8470,8,5
20,9373,5,7
20,10140,6,6
20,11050,7,5
20,7830,5,5
20,8510,5,7
20,7038,4,6
20,9000,4,7
160,1680,6,5
160,1680,6,6
160,2308,6,5
120,2280,7,5
160,2349,6,5
160,2364,6,5
160,2364,6,5
120,2104,7,6
20,10710,5,7
60,14257,9,5
60,12350,9,5
20,12350,9,5
20,13693,10,5
20,11578,9,5
20,16870,8,5
60,23303,8,5
20,10367,9,5
20,10872,9,5
20,13514,9,5
20,12878,7,5
20,15274,9,5
60,13262,8,5
20,9658,8,5
120,6904,6,5
120,5122,6,5
120,10307,7,5
20,14836,10,5
20,15262,8,5
120,7390,9,5
120,6472,9,5
20,16770,8,5
120,3480,7,5
60,10928,7,5
60,8918,6,5
120,3182,7,5
80,9434,7,5
60,7984,7,5
60,10125,7,5
60,8965,7,5
60,8174,7,5
60,12891,8,5
80,9734,7,5
60,8433,6,5
80,7750,7,5
60,15896,7,5
80,7848,7,6
60,12720,8,5
20,10750,8,5
60,9085,7,5
60,11692,8,5
20,11194,8,5
20,10206,8,5
20,10130,8,5
20,9139,8,5
20,11128,9,5
20,7993,7,5
20,8640,7,5
20,12606,9,5
20,7500,8,5
60,10603,8,5
20,8125,8,5
20,10625,7,5
20,8736,7,5
60,8127,7,5
20,9605,7,6
20,7500,7,5
20,7500,6,5
60,10628,7,5
20,10141,8,5
20,13072,7,5
20,13072,5,5
20,12450,5,5
20,7328,7,5
60,11492,7,5
60,7703,6,6
120,7175,6,5
60,9109,7,5
60,10274,6,7
90,8250,6,7
20,9750,5,5
20,8499,5,6
20,9079,5,5
20,9316,5,5
20,7791,5,8
20,7150,5,6
20,15676,8,8
60,11949,7,8
160,2880,7,5
120,3830,6,5
120,4217,6,5
160,2998,6,5
160,3768,7,5
20,14694,8,9
20,15417,7,5
80,9600,8,5
60,12732,7,6
60,10400,6,7
20,9600,5,5
20,9000,6,5
60,13774,7,7
20,7130,5,6
20,9600,5,5
60,9600,7,5
85,16500,6,5
20,7436,4,7
20,8125,5,7
20,9450,4,5
20,13495,5,6
20,9350,5,6
20,10500,5,5
60,8970,5,6
80,11475,6,6
20,9768,5,5
20,9900,6,5
20,10573,6,6
20,14695,6,8
20,8760,5,7
20,12285,7,6
20,9240,6,8
20,8750,5,5
20,8750,5,5
20,10400,4,5
90,9482,5,4
20,8128,6,7
20,13070,5,5
30,8480,5,6
20,7626,5,8
20,9533,5,5
60,11419,7,7
20,9600,5,6
20,5470,3,5
60,10800,5,7
70,8146,4,8
30,10230,5,7
50,10410,4,5
70,7200,7,9
30,5400,2,5
30,10800,5,7
30,10800,3,5
90,9671,6,5
20,10143,6,7
20,11500,6,4
20,8010,6,9
20,10454,6,6
20,9000,6,6
50,8064,6,5
20,7350,5,6
20,7200,5,7
80,8000,5,5
50,10800,4,7
50,8064,6,7
60,7570,6,5
90,8604,5,7
20,7936,6,6
50,4080,6,8
90,10307,6,5
50,15660,5,8
70,9900,5,8
70,6406,5,6
190,7627,4,6
50,10134,5,5
50,6000,5,7
30,7404,4,6
30,5925,2,4
30,8520,5,8
70,9600,4,4
70,8400,6,7
70,3600,6,7
30,3300,4,3
50,5400,6,6
70,9720,6,7
30,9392,3,3
30,6615,6,6
70,4960,5,7
50,6000,5,5
30,6120,5,6
50,6120,5,6
30,8635,5,5
70,8094,6,6
70,9928,7,8
90,3000,5,1
70,6876,6,5
70,5775,6,7
190,5852,7,5
50,5160,6,6
85,5160,4,6
190,10320,6,7
20,4280,4,9
90,10800,5,5
90,10547,5,5
50,9780,5,3
20,11625,5,6
85,8014,6,5
80,15400,5,5
80,15312,6,5
80,15584,5,5
20,9000,2,2
20,15635,4,5
20,9571,5,5
60,9350,6,7
20,7440,5,6
120,4235,5,5
80,10778,7,6
80,19255,6,5
60,10560,7,5
70,26400,5,7
90,7018,5,5
90,7018,5,5
90,7040,5,5
90,7007,5,5
90,11855,7,5
90,7939,7,5
90,7976,7,5
20,10933,9,5
20,10816,9,5
20,9178,8,5
20,11422,8,5
20,6762,7,5
20,10324,8,5
20,11645,8,5
60,11646,6,5
60,16698,7,5
20,9757,5,7
20,14753,7,5
60,8750,6,5
20,10739,7,5
20,11166,7,5
20,16269,5,5
20,6950,5,7
20,11664,7,5
60,12334,8,5
60,8749,7,5
60,11250,7,5
20,15750,8,5
20,12782,8,5
20,8750,7,5
20,10200,8,5
60,11069,6,5
20,10682,4,6
180,3675,6,5
20,6410,4,5
20,11767,5,5
90,10926,5,5
20,11767,5,5
50,8212,5,6
50,6300,5,4
70,5707,6,6
30,8574,6,8
70,7155,7,8
50,13680,5,6
20,14680,5,4
90,8145,7,6
20,9100,5,6
20,13339,6,6
50,15600,5,7
20,17500,6,5
160,1733,6,6
160,1488,6,6
160,1612,6,6
80,13607,6,6
20,17597,7,9
70,8660,5,6
30,10200,4,6
120,3843,8,5
30,21780,2,4
60,10125,8,5
85,9750,6,6
85,9360,6,7
20,11070,5,5
20,13438,9,5
20,14463,9,5
60,9839,6,8
80,14419,7,5
60,9157,7,5
20,12633,9,5
20,12518,5,7
20,13383,5,5
85,7689,5,8
80,7706,6,5
85,7669,5,6
60,10429,5,5
60,10457,5,7
60,8702,6,5
60,8139,6,5
60,9535,6,5
60,15038,6,5
20,14137,5,5
120,6264,8,5
120,5070,8,5
60,11184,6,5
60,14067,6,5
120,5950,8,5
60,13543,8,5
20,15401,9,5
20,31220,6,2
120,8118,9,5
20,47280,6,5
20,12680,7,6
20,10825,7,7
20,18559,7,5
20,14450,7,5
20,13068,6,5
60,10400,7,6
60,9743,5,6
60,12511,7,7
20,10400,6,5
60,14311,8,5
90,9000,5,5
20,10295,4,6
20,7560,5,5
160,1680,6,5
160,1890,6,6
160,1680,5,5
160,2308,6,6
120,2529,7,6
20,12704,8,5
20,13693,8,5
20,14418,9,5
60,13418,9,5
60,12539,10,5
60,12151,9,5
60,8899,8,5
60,10574,8,5
20,12720,10,5
20,10845,8,5
60,16900,8,5
60,16451,8,5
120,10110,9,5
120,12304,7,5
120,8232,9,5
120,6240,8,5
120,6240,8,5
160,2448,7,5
120,3940,7,5
120,3940,7,5
20,3710,7,5
60,9024,6,5
60,8010,7,5
60,8396,7,5
120,7301,7,6
60,8220,7,5
60,7750,7,5
60,12460,7,5
60,8390,7,5
75,9660,8,5
60,11000,9,5
20,11675,8,5
60,10990,7,5
60,11929,8,7
60,10010,7,5
20,13253,7,5
60,9801,8,5
60,9428,8,5
20,10037,8,5
20,8640,8,5
20,10625,8,5
20,7500,7,5
60,10110,6,5
60,12774,7,5
20,13072,6,5
20,9260,7,5
60,8453,6,5
60,8480,6,5
60,14565,7,5
60,8450,6,5
60,8285,7,5
20,9100,5,5
20,8100,5,8
190,8450,5,5
20,6360,5,5
20,19508,6,5
50,10759,5,4
60,9205,6,5
60,11025,9,5
120,3435,7,5
160,3180,6,5
160,3180,7,5
160,2280,6,5
120,4765,9,5
120,4538,9,5
120,4385,9,5
120,4109,9,5
160,2160,7,5
60,10646,7,5
160,2645,8,5
160,2645,8,5
160,3951,10,5
120,11064,8,5
60,24572,9,3
20,16280,8,9
60,7500,7,5
80,11104,6,6
20,11050,6,5
20,15387,7,7
90,9750,5,6
60,8814,5,6
20,8125,5,7
90,11072,5,5
60,13355,7,6
20,7785,5,5
20,9900,5,5
20,11332,5,7
70,4882,4,7
20,9600,5,6
20,9600,5,8
20,7584,5,5
60,14670,6,7
20,8856,5,4
20,9840,5,7
20,13200,6,6
20,10425,5,5
20,11556,5,6
20,9373,5,6
20,12774,5,5
20,14250,6,5
20,8838,5,3
90,12436,5,5
20,10122,4,6
50,7506,5,8
30,5400,4,7
50,10836,5,5
20,10180,5,6
20,11355,7,7
20,12929,6,6
20,7200,5,7
20,8000,5,6
20,8000,5,5
50,8064,6,6
45,6390,6,7
50,7200,6,5
90,8513,5,5
50,7200,5,6
20,7200,5,7
20,7590,5,5
20,9836,6,5
50,9184,5,7
70,4800,5,5
30,4800,5,4
75,6000,6,7
190,11426,4,6
50,7628,4,6
50,7308,5,5
30,5400,7,6
190,10800,6,6
30,6756,5,6
50,5914,5,9
50,9000,5,6
20,7311,2,5
20,12205,3,1
190,9142,5,5
75,5350,7,8
50,9143,5,7
190,9600,5,5
70,6000,5,9
70,11340,2,1
70,10800,7,7
20,9750,5,6
20,8516,4,6
30,7111,5,7
50,7425,7,7
50,7010,5,5
50,5000,5,7
70,5870,6,9
50,6000,6,7
30,6000,5,7
50,6000,6,7
50,6000,6,5
45,5000,6,7
50,5520,5,7
20,5940,4,7
50,6240,4,7
30,6120,5,6
50,6240,7,5
70,6120,5,5
50,9144,6,4
60,8094,6,8
50,4347,6,8
30,6291,6,6
70,10266,6,6
50,6876,6,6
50,10320,5,6
30,7200,6,7
50,7006,6,6
30,10320,5,8
190,10320,3,3
20,9488,5,6
85,11235,5,6
80,13014,6,5
20,10265,5,7
85,7703,6,8
20,9981,5,5
85,7400,5,5
190,12900,5,4
20,9239,5,8
20,14175,6,8
190,10532,5,3
50,8375,5,7
80,10200,5,8
20,20270,7,6
50,5190,7,5
30,19550,5,7
20,9571,5,6
90,9350,5,5
60,9360,6,8
60,9771,6,5
20,9938,7,5
60,14171,7,5
80,10541,7,5
60,10616,7,5
20,9345,8,5
20,11778,9,5
20,11778,9,5
80,11454,8,5
20,11500,6,6
20,9750,5,7
20,8696,7,5
60,13142,6,5
60,8998,7,5
60,12192,7,5
20,12250,5,6
20,9216,5,6
20,14330,5,6
60,10400,7,5
60,9720,9,5
20,14860,8,5
60,10905,7,5
60,11690,8,5
120,4426,6,5
90,10126,6,5
20,9750,7,5
20,11058,7,6
20,9627,7,5
20,9825,5,5
85,12102,5,5
20,6500,6,6
80,9638,6,6
60,7200,6,7
20,47007,5,7
90,6012,4,5
90,6845,4,5
190,6931,4,5
50,12180,5,7
50,8050,5,8
20,9520,4,5
80,7692,4,6
30,5142,4,7
30,7290,7,8
90,7804,6,7
70,8969,6,6
50,15564,6,6
70,7609,8,9
70,9650,6,3
50,11700,5,6
50,9260,5,4
20,7801,6,5
70,9670,8,6
50,12392,7,9
20,26073,5,5
160,1879,6,6
30,7000,6,8
50,6000,6,8
50,8155,5,7
80,6000,5,5
30,7392,5,7
50,9000,5,5
20,14584,1,5
70,5280,4,7
50,5150,4,7
70,9000,4,6
120,3843,8,5
120,3811,7,5
20,23730,7,5
60,11050,7,5
90,10260,5,4
20,9990,4,5
120,4084,7,6
20,11563,8,5
60,12852,8,5
80,9802,5,5
60,12018,7,5
20,12890,6,5
20,18265,6,5
20,11202,8,5
20,7915,6,5
20,11449,8,5
20,11447,8,5
90,8940,7,5
20,9278,5,5
120,4500,6,5
85,14137,4,5
120,4224,5,6
160,2665,5,7
180,1974,4,7
180,1596,4,6
20,17979,5,6
160,1477,6,9
20,6490,5,7
20,6600,5,6
20,12395,5,6
70,56600,5,1
20,10667,6,6
80,8872,6,5
80,10147,6,5
60,8637,6,5
60,7875,7,5
60,7500,6,5
20,9556,7,5
60,7655,6,5
20,18160,6,6
120,4740,8,5
120,5118,8,5
60,12328,8,5
20,51974,9,5
190,41600,5,5
120,8035,9,5
20,14082,8,5
20,13870,10,5
20,10960,6,5
60,12090,7,7
20,12299,7,6
60,11339,7,5
20,11850,6,6
20,10400,6,5
20,13001,6,5
80,8991,7,6
60,8000,6,6
20,9457,5,6
20,7920,5,5
20,17199,4,7
120,4113,6,5
120,10943,6,5
160,2205,6,6
160,2058,6,5
120,2304,7,7
20,7150,5,6
20,12469,9,5
20,11825,8,5
20,14333,8,5
60,13641,9,5
60,13440,8,5
20,15431,10,5
20,13891,9,5
60,13654,9,5
20,17169,10,5
60,16659,8,5
60,9709,8,5
20,13615,9,5
60,13069,8,5
60,14277,8,5
60,12568,8,5
20,9926,7,5
20,9254,8,5
60,10732,8,5
120,3901,6,5
120,3903,6,5
120,6289,6,5
120,4590,8,5
120,7841,9,5
120,6240,8,5
120,3242,7,5
60,15810,6,5
60,10237,6,5
60,13204,7,5
60,8857,6,5
60,9729,6,5
20,12216,6,5
60,8229,6,5
60,7713,7,5
20,7697,7,6
120,3621,8,5
20,3710,7,5
80,16219,7,5
80,11084,7,5
20,10936,7,5
80,11950,7,5
60,7875,7,5
60,8740,7,5
60,9487,6,5
60,9649,6,5
60,12191,8,5
60,10557,9,5
60,11002,8,5
60,10790,7,5
60,11762,8,5
60,9044,8,5
20,9910,7,6
20,11830,8,5
20,10612,8,5
20,12291,10,5
20,9965,7,5
20,8847,8,5
20,8251,7,5
60,9605,7,5
60,8778,8,5
20,8640,8,5
20,9000,7,5
60,8640,8,5
60,10411,5,5
60,12217,8,5
20,10440,8,5
20,11824,8,5
60,10625,6,5
20,7500,6,5
20,7500,7,5
20,12450,5,5
20,7441,7,5
60,11613,6,5
160,8012,6,5
20,6285,5,5
20,7476,5,7
60,19522,7,5
20,10751,5,5
20,12712,6,7
120,4379,8,5
120,3523,8,5
120,3784,8,5
120,3606,7,5
120,5330,8,5
160,2280,6,5
160,2117,6,5
20,7321,7,5
60,8010,8,5
60,8413,8,5
120,9466,8,5
20,12000,7,6
20,17778,8,5
20,11700,6,6
60,8000,6,6
85,8723,6,6
20,11700,6,5
20,11358,7,7
20,9547,7,6
60,10530,7,6
20,10738,6,7
20,10800,6,5
20,8050,5,6
90,10899,4,5
20,7450,5,5
20,14357,5,5
20,8243,5,7
20,8680,5,7
20,8800,7,6
80,9200,6,5
60,8800,6,7
20,11382,6,5
20,22002,6,7
45,12172,5,7
20,5000,3,3
50,3500,3,5
20,5175,5,8
20,9600,5,6
90,8668,5,5
85,10050,5,6
80,9600,6,5
20,8760,6,7
20,6860,5,6
20,8250,5,7
20,9100,5,5
20,9736,6,6
20,9770,5,5
20,12198,5,6
20,10050,5,5
20,11556,5,9
90,8078,5,5
20,10950,6,6
20,7942,6,7
20,8540,5,8
50,7150,4,4
20,8400,5,5
20,9532,4,6
20,15783,5,5
50,14190,4,7
50,12099,5,6
70,21281,5,4
50,10284,4,7
70,10800,5,9
80,10090,7,5
20,8700,5,7
20,8300,6,6
20,7200,5,3
20,7500,5,7
20,7315,5,6
20,7903,5,5
20,8000,5,5
20,7000,5,6
20,6600,5,5
85,6760,5,5
30,6978,5,7
50,6000,6,6
30,4480,5,5
30,3153,5,6
30,7200,5,8
50,9000,5,8
50,5925,4,6
70,9639,4,8
70,10337,8,9
70,9863,6,6
70,4571,5,7
50,8398,6,8
70,3600,5,7
75,13500,7,8
20,8626,4,6
80,11800,4,7
40,6854,5,7
50,8674,5,6
50,6125,5,7
70,6000,6,6
45,6120,5,7
50,6240,6,5
50,6240,5,8
50,6240,5,7
50,6120,5,6
70,7755,6,8
50,8850,6,7
50,8550,5,5
70,5700,7,6
45,5680,5,4
50,5680,5,3
80,13200,6,6
60,9780,7,9
50,10320,6,5
190,4330,4,6
50,10320,4,1
70,12888,7,8
190,4484,5,6
190,11235,5,5
85,11235,5,5
20,14299,4,3
80,14149,5,8
20,11677,5,4
190,8425,5,6
20,8665,5,5
20,8398,5,5
20,8169,5,7
20,14175,5,5
60,16779,5,4
50,6960,7,8
20,11375,6,5
20,13770,5,6
20,9000,4,7
20,11075,6,5
20,17541,5,7
20,22692,5,5
20,17808,4,5
20,12671,6,7
50,10512,6,6
20,5400,5,5
30,11515,4,5
120,3869,5,6
20,9280,5,6
50,11100,5,6
50,7550,4,5
50,23920,6,5
60,9317,7,5
20,9178,8,5
20,10481,8,5
20,10235,8,5
20,11750,7,5
20,8760,8,5
20,7242,7,5
60,9316,7,5
60,8883,7,5
20,20064,8,6
20,14217,5,5
60,10021,6,6
20,8428,5,7
20,16561,5,5
60,10820,7,5
60,12352,7,5
60,9543,7,5
60,8826,7,5
20,11800,5,5
80,8660,5,5
80,9720,5,7
20,8982,5,5
20,16300,5,4
20,9675,5,6
20,7200,5,5
20,7200,4,8
20,11354,7,5
60,8749,7,5
60,8158,7,5
20,11927,8,5
60,12728,8,5
60,15295,7,5
20,17227,8,5
60,8145,7,5
20,8769,7,5
20,8334,6,5
60,8333,7,5
60,9045,5,5
85,9825,5,5
20,8308,4,6
50,16287,5,6
20,8240,6,6
80,6285,6,6
90,9555,5,6
60,7023,5,5
20,39290,10,5
180,3675,6,5
20,6400,5,7
90,6882,4,3
90,8741,5,6
40,10042,6,8
20,8172,4,5
20,8172,4,5
90,10890,5,6
30,7223,5,5
50,6821,6,7
70,4000,7,8
70,6720,6,7
70,7155,6,8
70,7230,7,7
20,13108,5,5
50,7810,4,6
190,6221,5,5
20,25485,6,4
20,21579,6,6
160,1782,6,6
20,17871,4,5
120,3907,8,5
20,20693,7,5
20,18044,8,5
50,7000,6,7
50,7288,5,7
70,9060,5,6
30,3672,5,7
50,11067,2,4
190,8250,5,6
20,6565,4,6
30,6060,5,9
120,5568,8,5
85,12150,6,6
20,10000,5,5
20,12864,7,5
20,9928,7,5
80,8750,7,6
85,8410,6,6
120,4054,7,6
20,19958,6,8
20,8368,7,5
20,8298,8,5
20,10331,7,7
20,6718,8,5
20,11305,8,5
20,7777,6,5
60,11800,7,5
20,12633,10,5
20,43500,3,5
120,6710,6,5
160,1504,4,4
180,1533,4,5
160,1495,4,6
160,1890,4,3
85,9129,5,5
80,15957,6,6
20,33983,5,6
60,8286,5,7
85,6723,5,7
20,27697,4,3
20,11000,5,6
20,11625,5,7
20,10447,5,6
20,11027,6,5
20,10533,6,6
20,11765,5,5
20,39384,6,6
20,11727,7,6
60,8238,6,5
60,13041,6,5
60,9783,6,5
60,13128,8,5
60,13751,7,5
160,13108,8,5
20,8076,6,6
120,3701,8,5
60,16023,9,5
60,18062,10,5
60,12292,9,5
60,16052,10,5
60,15922,9,5
120,8147,9,5
20,18261,9,5
85,10464,6,6
60,10530,7,5
85,9927,7,5
60,9512,7,5
80,10530,6,6
20,10000,6,6
20,7200,4,4
120,8773,6,5
160,2760,6,5
160,2160,5,6
160,1890,6,7
160,1680,6,5
160,1680,6,5
120,4043,6,5
20,7514,5,7
120,2280,7,7
160,2179,6,5
60,16387,9,5
20,16163,8,5
20,12228,7,5
20,14780,9,5
60,13975,9,5
60,9942,9,5
60,12867,8,5
60,10672,8,5
60,11643,8,5
20,13758,9,5
20,14828,9,5
60,13215,8,5
120,5911,9,5
20,7740,9,5
120,6373,9,5
60,10237,6,5
60,10237,7,5
20,11660,6,5
60,11631,8,5
60,9073,7,5
120,3087,7,5
120,2938,7,5
120,3072,7,5
120,3010,7,5
60,9171,7,5
60,8658,6,5
60,12104,7,5
60,9660,8,5
60,9545,8,5
60,9233,9,5
60,10019,8,5
60,17242,9,5
60,10236,8,5
60,12585,8,5
60,12447,8,5
20,15218,8,5
20,10936,8,5
20,8640,8,5
60,13162,9,5
60,8125,6,5
20,7733,6,5
20,11024,7,5
20,13072,6,5
60,7800,7,5
60,7632,7,5
60,8304,6,5
60,9370,6,5
120,7175,6,5
120,7175,6,5
60,9019,6,5
20,9100,5,4
90,8927,6,6
20,9240,5,6
20,9308,5,5
20,8450,5,6
20,8638,5,6
20,13052,5,6
20,8020,5,6
20,8789,5,6
80,14330,7,4
60,11025,8,5
120,3628,7,5
160,2544,7,5
160,2998,6,5
160,4447,7,5
60,8314,7,5
20,7180,8,5
190,13110,5,6
20,10140,7,6
20,9600,5,5
60,8640,5,5
20,9360,6,7
85,8400,5,6
20,9759,5,5
80,9600,5,7
190,8800,6,7
20,10368,6,6
60,9350,5,6
20,10800,5,7
30,8550,6,8
20,9724,5,7
20,9600,5,6
20,10858,5,6
20,9600,5,5
60,9462,5,6
20,9888,5,6
90,8917,5,5
80,12700,6,5
20,9723,6,7
20,8400,5,5
20,9610,6,6
80,10000,5,6
20,10152,6,6
20,8092,6,8
20,12778,5,6
20,10170,6,6
80,7700,5,7
20,11050,5,5
20,13600,5,6
20,15428,5,6
30,21299,7,5
20,13300,5,5
190,22136,5,5
50,7500,6,6
30,10410,3,8
30,10914,3,3
50,7008,4,8
70,7200,6,8
50,10818,4,4
80,10184,6,5
20,9510,6,5
20,10800,6,6
20,11650,7,5
60,18275,7,8
50,12144,4,6
90,8544,3,4
90,8512,5,5
20,7000,5,4
20,7400,7,6
20,7000,5,6
190,7000,5,5
70,9856,5,8
50,9600,5,6
50,5520,4,6
50,9600,6,8
70,6451,7,7
70,3960,7,8
190,7745,4,6
30,7741,6,5
30,5633,5,7
20,7200,4,5
70,7614,3,5
190,6000,5,7
50,6000,5,7
30,7830,3,5
50,9576,6,7
30,5747,3,4
75,6300,7,6
90,5976,5,7
20,9750,5,5
50,4761,3,3
70,11737,6,7
50,6120,3,5
50,6120,5,7
30,11672,5,5
50,33120,6,5
50,10320,4,5
70,7518,5,8
30,9000,5,4
30,7200,6,6
50,12375,5,5
90,11136,6,5
20,21370,5,5
30,8250,5,7
30,5220,5,3
20,5500,7,5
20,11327,5,6
80,10366,6,7
20,9000,5,6
20,9535,5,5
80,7176,6,6
90,9662,5,4
90,8235,5,4
30,17529,5,5
20,20355,7,6
20,13050,5,6
85,10820,5,7
150,1700,7,5
20,9375,4,5
50,6488,5,5
70,19950,6,7
75,19800,6,8
80,11679,5,5
20,12048,5,6
20,10519,5,8
50,9525,6,5
60,12128,6,4
90,9069,6,8
60,11003,7,5
20,7488,7,5
20,13377,6,5
20,11645,8,5
60,10984,7,5
20,9316,7,5
60,9316,7,5
20,12000,6,5
20,13015,5,6
60,12438,6,5
20,8685,7,5
60,9272,7,5
60,13426,7,5
60,8340,6,6
80,10385,6,6
20,7200,5,8
60,9930,7,5
60,9468,6,5
20,11088,8,5
60,8726,7,5
60,10566,8,5
60,21533,7,5
60,11250,7,5
60,11250,7,5
120,4435,6,5
20,8810,7,5
60,8581,7,5
60,8400,7,5
20,8772,7,5
70,8777,4,6
90,7840,6,5
20,16133,5,4
60,7162,7,5
20,8050,6,5
60,11060,7,5
180,3675,6,5
160,2522,7,5
50,6956,4,7
50,7822,6,3
50,8707,4,5
20,16012,4,4
50,8248,4,4
30,8088,2,3
50,11388,4,7
50,10890,5,5
190,6430,6,6
70,7000,7,8
70,4899,6,8
70,9399,7,8
50,10164,5,5
50,6191,5,4
50,21780,6,5
50,12400,5,6
50,8170,7,7
70,12320,7,7
70,14210,6,7
60,15600,5,7
30,7288,5,6
50,7000,6,7
30,8534,4,4
30,7030,4,6
50,9060,6,5
30,12366,3,5
190,9000,5,6
50,8520,3,5
120,5748,8,5
120,3842,8,5
20,23580,6,6
90,8385,6,5
20,9116,8,5
80,11080,6,6
20,50102,6,5
20,8098,6,5
20,13618,8,5
20,11577,9,5
20,31250,1,3
90,7020,7,5
160,2665,5,6
20,10172,5,7
90,11836,5,5
180,1470,4,6
160,1484,4,4
20,13384,5,5
160,1533,4,5
160,1526,4,5
160,1936,4,7
160,1894,4,5
20,20000,5,7
85,10441,5,5
60,9627,7,5
