MSSubClass,LotArea,OverallQual,OverallCond,SaleStatus
60,8450,7,5,SoldFast
20,9600,6,8,SoldFast
60,11250,7,5,SoldFast
70,9550,7,5,SoldFast
60,14260,8,5,SoldFast
50,14115,5,5,SoldSlow
20,10084,8,5,SoldFast
60,10382,7,6,SoldFast
50,6120,7,5,SoldFast
190,7420,5,6,SoldSlow
20,11200,5,5,SoldSlow
60,11924,9,5,SoldFast
20,12968,5,6,SoldSlow
20,10652,7,5,SoldFast
20,10920,6,5,SoldFast
45,6120,7,8,SoldFast
20,11241,6,7,SoldFast
90,10791,4,5,SoldSlow
20,13695,5,5,SoldSlow
20,7560,5,6,SoldSlow
60,14215,8,5,SoldFast
45,7449,7,7,SoldFast
20,9742,8,5,SoldFast
120,4224,5,7,SoldSlow
20,8246,5,8,SoldSlow
20,14230,8,5,SoldFast
20,7200,5,7,SoldSlow
20,11478,8,5,SoldFast
20,16321,5,6,SoldSlow
30,6324,4,6,SoldSlow
70,8500,4,4,SoldSlow
20,8544,5,6,SoldSlow
20,11049,8,5,SoldFast
20,10552,5,5,SoldSlow
120,7313,9,5,SoldFast
60,13418,8,5,SoldFast
20,10859,5,5,SoldSlow
20,8532,5,6,SoldSlow
20,7922,5,7,SoldSlow
90,6040,4,5,SoldSlow
20,8658,6,5,SoldFast
20,16905,5,6,SoldSlow
85,9180,5,7,SoldSlow
20,9200,5,6,SoldSlow
20,7945,5,6,SoldSlow
120,7658,9,5,SoldFast
50,12822,7,5,SoldFast
20,11096,8,5,SoldFast
190,4456,4,5,SoldSlow
20,7742,5,7,SoldSlow
60,13869,6,6,SoldFast
50,6240,6,6,SoldFast
90,8472,5,5,SoldSlow
20,50271,9,5,NotSold
80,7134,5,5,SoldSlow
20,10175,6,5,SoldFast
160,2645,8,5,SoldFast
60,11645,7,5,SoldFast
60,13682,10,5,SoldSlow
20,7200,5,7,SoldSlow
20,13072,6,5,SoldFast
75,7200,5,7,SoldSlow
120,6442,8,5,SoldFast
70,10300,7,6,SoldFast
60,9375,7,5,SoldFast
60,9591,8,5,SoldFast
20,19900,7,5,SoldFast
20,10665,7,5,SoldFast
30,4608,4,6,SoldSlow
50,15593,7,4,SoldSlow
20,13651,7,6,SoldFast
20,7599,4,6,SoldSlow
60,10141,7,5,SoldFast
20,10200,5,7,SoldSlow
50,5790,3,6,SoldSlow
180,1596,4,5,SoldSlow
20,8475,4,7,SoldSlow
50,8635,5,5,SoldSlow
90,10778,4,5,SoldSlow
50,10440,5,6,SoldSlow
60,13000,6,6,SoldSlow
120,4500,6,5,SoldFast
20,10206,8,5,SoldFast
20,8892,5,5,SoldSlow
80,8530,7,5,SoldFast
60,16059,8,5,SoldFast
60,11911,6,5,SoldFast
160,3951,6,5,SoldSlow
50,8470,3,2,SoldSlow
20,8070,4,5,SoldSlow
20,7200,4,5,SoldSlow
20,8500,5,3,SoldSlow
30,13360,5,7,SoldSlow
190,7200,6,6,SoldSlow
60,9337,6,5,SoldFast
60,9765,6,8,SoldFast
20,10264,7,5,SoldFast
20,10921,4,5,SoldSlow
30,10625,5,5,SoldSlow
20,9320,4,5,SoldSlow
20,10603,6,7,SoldFast
60,9206,6,5,SoldFast
90,7018,5,5,SoldSlow
20,10402,7,5,SoldFast
50,7758,7,4,SoldFast
60,9375,8,5,SoldFast
30,10800,4,7,SoldSlow
20,6000,5,5,SoldSlow
50,8500,5,7,SoldSlow
20,11751,6,6,SoldFast
50,9525,6,4,SoldFast
80,7750,7,5,SoldFast
60,9965,7,5,SoldSlow
20,21000,6,5,SoldSlow
70,7259,6,8,SoldSlow
160,3230,6,5,SoldFast
20,11616,5,5,SoldSlow
20,8536,5,5,SoldSlow
60,12376,7,5,SoldSlow
60,8461,6,5,SoldFast
80,21453,6,5,SoldFast
50,6060,4,5,SoldSlow
20,9464,6,7,SoldFast
120,7892,6,5,SoldSlow
20,17043,6,5,SoldFast
190,6780,6,8,SoldSlow
120,4928,6,5,SoldSlow
45,4388,5,7,SoldSlow
60,7590,6,5,SoldFast
20,8973,5,7,SoldSlow
60,14200,7,6,SoldFast
60,12224,6,5,SoldSlow
20,7388,5,6,SoldSlow
20,6853,8,5,SoldFast
20,10335,5,6,SoldSlow
20,10400,7,6,SoldFast
20,10355,5,5,SoldSlow
90,11070,7,5,SoldFast
60,9066,8,5,SoldFast
60,15426,6,5,SoldFast
20,10500,4,5,SoldSlow
20,11645,7,5,SoldFast
50,8520,5,4,SoldSlow
20,10335,7,5,SoldFast
90,9100,5,5,SoldSlow
160,2522,6,5,SoldSlow
30,6120,5,7,SoldSlow
60,9505,7,5,SoldFast
20,7500,7,5,SoldFast
50,6240,5,4,SoldSlow
20,10356,5,6,SoldSlow
20,13891,8,5,SoldFast
60,14803,6,5,SoldSlow
20,13500,6,7,SoldFast
30,11340,6,5,SoldFast
50,9600,6,5,SoldFast
20,7200,5,7,SoldSlow
60,12003,8,5,SoldFast
60,12552,7,5,SoldFast
60,19378,7,5,SoldSlow
20,11120,6,6,SoldFast
60,13688,9,5,SoldFast
20,12182,7,5,SoldFast
45,5500,4,6,SoldSlow
40,5400,6,7,SoldFast
190,10106,5,7,SoldSlow
20,10708,5,5,SoldSlow
60,10562,8,5,SoldFast
60,8244,7,5,SoldFast
20,16669,8,6,SoldFast
50,12358,5,6,SoldSlow
20,31770,6,5,SoldFast
160,5306,7,7,SoldFast
20,10197,6,5,SoldFast
20,12416,6,5,SoldFast
20,12615,6,7,SoldSlow
60,10029,6,5,SoldSlow
50,13650,5,5,SoldSlow
20,17423,9,5,SoldFast
30,8520,5,6,SoldSlow
160,2117,6,5,SoldSlow
70,7588,7,6,SoldFast
20,9060,5,6,SoldSlow
50,11426,7,5,SoldFast
50,7438,5,8,SoldSlow
75,22950,10,9,SoldSlow
80,9947,7,5,SoldFast
50,10410,5,7,SoldSlow
90,7018,5,5,NotSold
120,4923,8,5,SoldFast
70,10570,8,8,SoldSlow
60,7472,7,9,SoldFast
20,9017,7,5,SoldFast
160,2522,7,5,SoldFast
20,7180,5,7,SoldSlow
160,2280,6,6,SoldSlow
20,9416,7,5,SoldFast
75,25419,8,4,SoldSlow
75,5520,6,6,SoldSlow
20,9591,8,5,SoldFast
20,8546,4,5,SoldSlow
20,10125,6,6,SoldFast
50,7000,6,6,SoldFast
120,4438,6,5,SoldSlow
50,3500,5,7,SoldSlow
20,11851,7,5,SoldFast
20,13673,5,5,SoldSlow
20,12493,4,5,SoldSlow
60,14364,7,5,SoldFast
20,8250,6,7,SoldFast
30,5604,5,6,SoldSlow
20,10420,6,5,SoldFast
60,8640,7,5,SoldFast
20,13568,5,5,SoldSlow
60,10900,6,7,SoldFast
20,10011,5,6,SoldSlow
20,8450,7,5,SoldFast
70,9906,4,4,SoldSlow
50,15660,7,9,SoldFast
120,3010,7,5,SoldFast
20,8990,7,5,SoldFast
60,8068,6,5,SoldSlow
60,11475,6,6,SoldFast
20,10500,4,6,SoldSlow
20,13472,10,5,SoldFast
160,1680,5,5,SoldSlow
60,9950,7,5,SoldSlow
160,1869,6,6,SoldSlow
20,8521,5,5,SoldSlow
120,3182,7,5,SoldFast
20,8760,6,6,SoldFast
60,15138,8,5,SoldSlow
160,1680,6,5,SoldSlow
20,10650,5,6,SoldSlow
60,7851,6,5,SoldSlow
160,1680,6,3,SoldFast
20,8773,7,5,SoldFast
60,9453,7,7,SoldFast
20,12030,8,5,SoldFast
50,8741,6,4,SoldFast
20,9000,8,5,SoldFast
30,3880,5,9,SoldSlow
50,5000,5,4,SoldSlow
160,10762,6,6,SoldFast
60,8880,7,5,SoldFast
20,10400,7,5,SoldFast
190,9142,6,8,SoldSlow
20,11310,6,5,SoldFast
60,11317,7,5,SoldFast
50,159000,6,7,SoldSlow
30,5350,3,2,SoldSlow
120,4750,8,5,SoldFast
60,8366,6,5,SoldFast
80,9350,6,7,SoldFast
20,8400,5,6,SoldSlow
60,8738,7,5,SoldSlow
60,8791,6,5,SoldFast
20,8814,7,5,SoldFast
60,12435,7,5,SoldFast
20,12702,5,5,SoldSlow
80,19296,6,5,SoldFast
60,9588,8,5,SoldSlow
80,8471,6,7,SoldFast
50,5500,5,7,SoldSlow
30,5232,5,5,SoldSlow
20,12090,6,6,SoldFast
60,11207,6,5,SoldFast
75,8400,5,8,SoldSlow
30,6900,5,6,SoldSlow
20,7917,6,7,SoldFast
60,10728,8,5,SoldFast
20,39104,7,7,SoldFast
60,11764,8,7,SoldFast
20,9600,6,6,SoldFast
20,8314,5,7,SoldSlow
50,7264,7,7,SoldFast
20,9196,7,5,SoldFast
20,19138,4,5,SoldSlow
20,14450,9,5,SoldFast
60,10005,7,5,SoldFast
60,11287,7,6,SoldFast
20,7200,6,5,SoldFast
120,5063,7,5,SoldFast
20,9612,8,5,SoldFast
120,8012,6,5,SoldFast
160,4251,7,5,SoldFast
50,9786,6,7,SoldFast
20,8125,4,4,SoldSlow
20,9819,5,5,SoldSlow
70,8730,6,7,SoldFast
60,15611,8,5,SoldFast
190,5687,5,6,SoldSlow
50,11409,5,4,SoldSlow
60,16659,7,7,SoldFast
20,9600,6,5,SoldFast
80,7937,6,6,SoldFast
50,13710,5,5,SoldSlow
60,7399,7,5,SoldFast
60,11700,6,6,SoldFast
20,14000,6,8,SoldFast
190,15750,5,5,SoldSlow
60,16226,8,5,SoldFast
20,13704,7,5,SoldFast
20,9800,5,7,SoldSlow
75,18386,7,9,SoldSlow
20,10386,8,5,SoldFast
60,13474,7,5,SoldSlow
50,7920,6,7,SoldFast
30,12342,4,5,SoldSlow
20,12378,9,5,SoldFast
60,7685,6,5,SoldFast
20,8000,6,6,SoldFast
190,7800,5,7,SoldSlow
20,215245,7,5,SoldFast
70,9600,7,7,SoldFast
60,7795,7,5,SoldFast
60,13005,7,7,SoldSlow
60,9000,8,5,SoldFast
60,9900,7,5,SoldSlow
80,14115,7,5,SoldFast
60,16259,9,5,SoldFast
60,12099,8,5,SoldFast
60,10380,7,5,SoldSlow
20,5820,3,8,SoldSlow
80,11275,7,7,SoldSlow
45,5000,5,6,SoldSlow
120,10846,8,5,SoldFast
20,11600,6,5,SoldFast
75,11888,6,6,SoldSlow
70,6402,5,5,SoldSlow
90,10624,5,4,SoldSlow
20,8176,5,6,SoldSlow
20,10655,8,5,SoldFast
120,8198,7,5,SoldFast
60,9042,6,5,SoldFast
190,164660,5,6,SoldSlow
20,14157,9,5,SoldFast
20,9135,7,5,SoldFast
20,14145,7,7,SoldFast
20,12400,6,7,SoldFast
60,14191,8,5,SoldFast
20,8400,4,4,SoldSlow
90,8544,3,4,SoldSlow
120,8849,9,5,SoldFast
160,2592,5,3,SoldSlow
50,6435,6,5,SoldFast
20,12772,6,8,SoldFast
20,17600,6,5,SoldFast
160,2448,7,5,SoldFast
60,20431,9,5,SoldSlow
120,7820,9,5,SoldFast
120,5271,7,5,SoldFast
50,9084,5,6,SoldSlow
30,8520,6,8,SoldSlow
50,8400,6,5,SoldFast
20,11249,6,5,SoldFast
20,9248,6,6,SoldSlow
120,4224,5,5,SoldSlow
80,6930,5,4,SoldSlow
60,12011,8,5,SoldFast
85,7540,6,6,SoldSlow
50,9144,5,5,SoldSlow
85,7301,7,5,SoldFast
160,1680,6,8,SoldSlow
60,18800,6,5,SoldFast
70,10690,5,7,SoldSlow
20,9500,6,5,SoldFast
80,9150,6,5,SoldFast
20,7800,5,6,SoldSlow
20,9830,5,7,SoldSlow
60,8121,6,5,SoldFast
50,17120,4,4,SoldSlow
120,7175,6,5,SoldSlow
20,10634,5,6,SoldSlow
60,8200,7,5,SoldFast
30,10020,1,1,NotSold
85,8846,5,5,SoldSlow
60,11143,8,5,SoldFast
20,11394,9,2,SoldFast
60,8123,6,5,SoldFast
50,5000,5,6,SoldSlow
20,7200,7,5,SoldFast
60,9245,7,5,SoldFast
45,9000,6,3,SoldSlow
60,53107,6,5,SoldSlow
120,3182,8,5,SoldFast
50,8410,5,3,SoldSlow
80,7200,6,6,SoldFast
20,9382,7,5,SoldFast
60,12474,10,5,SoldFast
50,8405,5,8,SoldSlow
60,12209,6,5,SoldSlow
20,8339,5,7,SoldSlow
30,7446,4,5,SoldSlow
50,10134,5,6,SoldSlow
20,9571,5,6,SoldSlow
20,7200,5,5,SoldSlow
60,7590,5,5,SoldSlow
30,8967,5,2,SoldSlow
60,8125,7,5,SoldFast
120,14963,8,5,SoldFast
20,8767,7,5,SoldFast
30,10200,5,8,SoldSlow
60,12090,8,5,SoldFast
60,10364,6,5,SoldFast
20,9991,4,4,SoldSlow
50,10480,6,5,SoldFast
70,15576,6,7,SoldFast
60,14154,7,5,SoldFast
60,10800,8,5,SoldFast
20,9571,5,3,SoldSlow
190,34650,5,5,SoldSlow
20,4403,7,5,SoldFast
30,8960,5,6,SoldSlow
60,11228,7,5,SoldFast
20,8899,7,5,SoldFast
60,7844,6,7,SoldFast
70,22420,6,6,SoldSlow
50,8160,5,6,SoldSlow
20,8450,5,6,SoldSlow
90,7060,7,5,SoldFast
20,16635,6,7,SoldFast
20,21750,5,5,SoldSlow
60,9200,8,5,SoldSlow
20,9000,6,5,SoldFast
60,3378,7,8,SoldFast
80,12800,7,5,SoldFast
20,8593,4,6,SoldSlow
20,6762,7,5,SoldFast
20,11457,6,5,SoldFast
160,1680,6,5,SoldSlow
50,5586,6,7,SoldFast
160,1920,5,5,SoldSlow
60,10839,6,5,SoldFast
180,1890,4,7,SoldSlow
60,10667,7,6,SoldFast
50,4400,6,8,SoldFast
45,6000,6,7,SoldSlow
30,4280,5,6,SoldSlow
50,12354,6,8,SoldFast
20,15431,10,5,SoldFast
90,12108,4,4,SoldSlow
50,6240,5,7,SoldSlow
120,3922,7,5,SoldFast
60,8750,7,5,SoldFast
20,9855,6,5,SoldFast
20,16492,6,6,SoldFast
60,11214,7,5,SoldFast
50,8600,6,6,SoldFast
50,6000,3,7,SoldSlow
30,5684,6,8,SoldSlow
20,70761,7,5,SoldFast
60,9303,6,5,SoldFast
60,9000,8,5,SoldFast
90,9297,5,5,SoldSlow
20,9600,7,6,SoldFast
70,4571,5,5,SoldSlow
20,53227,4,6,SoldSlow
70,5100,8,7,SoldFast
50,7015,5,4,SoldSlow
60,8004,8,5,SoldFast
70,7200,7,9,SoldFast
20,8281,5,5,SoldSlow
70,11988,6,7,SoldFast
20,8430,5,5,SoldSlow
120,3072,7,5,SoldFast
20,10628,7,5,SoldFast
70,9480,5,7,SoldSlow
20,11428,8,5,SoldFast
60,9291,6,5,SoldFast
120,6820,8,5,SoldFast
60,11952,7,6,SoldFast
180,3675,6,5,SoldFast
20,14977,8,5,SoldFast
120,5330,8,5,SoldFast
20,8480,5,6,SoldSlow
20,13125,6,5,SoldFast
60,13693,9,5,SoldFast
20,10637,8,5,SoldFast
30,5925,4,7,SoldSlow
20,16033,9,5,SoldFast
20,11846,9,5,SoldFast
70,2500,7,8,SoldFast
120,4500,6,5,SoldSlow
20,7758,5,7,SoldSlow
20,9600,5,7,SoldSlow
20,10289,5,7,SoldSlow
20,12243,5,6,SoldSlow
190,10800,5,4,SoldSlow
180,1526,4,8,SoldSlow
160,2665,5,6,SoldSlow
50,9490,6,7,SoldFast
60,15578,6,5,SoldFast
20,7931,5,6,SoldSlow
30,5784,5,8,SoldSlow
30,7879,4,5,SoldSlow
20,12692,8,5,SoldSlow
50,9120,7,6,SoldFast
20,7800,5,7,SoldSlow
20,7535,5,7,SoldSlow
160,1890,6,5,SoldSlow
60,9803,7,5,SoldFast
20,9170,5,7,SoldSlow
20,15602,7,8,SoldFast
160,2308,6,5,SoldFast
90,7596,5,5,SoldSlow
60,9554,8,5,SoldFast
20,7862,6,5,SoldFast
70,9600,7,9,SoldFast
20,9600,5,6,SoldSlow
20,14559,5,7,SoldSlow
120,6792,7,5,SoldFast
20,9100,5,5,SoldSlow
20,9187,6,5,SoldFast
45,10594,5,5,SoldSlow
20,12220,10,5,SoldFast
80,10448,6,6,SoldSlow
60,10208,7,5,SoldSlow
60,9531,6,5,SoldFast
70,10918,7,9,SoldFast
190,10800,4,7,SoldSlow
20,11988,6,6,SoldFast
50,5000,6,7,SoldFast
60,40094,10,5,SoldSlow
60,11787,7,5,SoldSlow
20,7500,7,5,SoldFast
20,13300,5,7,SoldSlow
60,14948,9,5,SoldSlow
30,9098,4,7,SoldSlow
20,32668,6,3,SoldSlow
80,10200,6,5,SoldFast
70,6155,6,8,SoldFast
20,7200,5,7,SoldSlow
20,5000,1,3,SoldSlow
60,9056,8,5,SoldFast
190,7000,5,7,SoldSlow
60,8924,7,5,SoldFast
20,12735,4,5,SoldSlow
20,11553,5,5,SoldSlow
20,11423,8,5,SoldFast
20,14601,9,5,SoldFast
60,11000,8,5,SoldFast
20,10140,7,5,SoldFast
120,4058,7,5,SoldFast
60,17104,7,5,SoldFast
50,13837,7,5,SoldFast
50,8737,6,7,SoldFast
85,7244,5,7,SoldSlow
20,8235,5,7,SoldSlow
60,9375,7,5,SoldFast
120,4043,6,6,SoldSlow
20,6000,5,6,SoldSlow
20,11146,8,5,SoldFast
20,8777,4,5,SoldSlow
60,10625,7,5,SoldFast
45,6380,5,6,SoldSlow
20,14850,5,5,SoldSlow
50,11040,4,6,SoldSlow
60,21872,7,5,SoldFast
120,3196,7,5,SoldFast
20,11341,5,6,SoldSlow
20,10010,5,5,SoldSlow
30,13907,5,6,SoldSlow
50,21780,6,7,SoldFast
60,13346,7,5,SoldSlow
70,6858,6,4,SoldFast
60,11198,9,5,SoldFast
20,10171,7,5,SoldFast
50,12327,8,8,SoldFast
90,7032,5,5,SoldSlow
90,13101,5,5,SoldSlow
20,7332,6,6,SoldSlow
60,13159,7,5,SoldFast
80,9967,7,5,SoldFast
80,10500,5,7,SoldSlow
50,8480,5,5,SoldSlow
50,6292,7,7,SoldFast
80,11777,5,6,SoldSlow
160,3604,7,5,SoldFast
50,12150,5,5,SoldSlow
20,14585,6,6,SoldFast
20,12704,8,5,SoldFast
90,11841,6,5,SoldSlow
75,13500,10,9,SoldFast
50,6120,4,7,SoldSlow
20,11443,8,5,SoldFast
30,10267,6,7,SoldSlow
85,8740,5,6,SoldSlow
20,25095,5,8,SoldSlow
40,9100,5,6,SoldSlow
60,8320,7,5,SoldFast
60,13478,10,5,SoldFast
20,6600,5,8,SoldSlow
120,4435,6,5,SoldSlow
20,7990,5,6,SoldSlow
20,11302,8,5,SoldFast
70,3600,6,7,SoldFast
120,3922,7,5,NotSold
20,12984,5,6,SoldSlow
160,1950,6,6,SoldSlow
60,10927,8,5,SoldFast
50,9000,6,6,SoldFast
60,10041,8,5,SoldFast
160,3182,7,5,SoldFast
20,12803,7,5,SoldFast
60,13600,7,6,SoldFast
20,12464,5,5,SoldSlow
20,7800,5,8,SoldSlow
70,12168,8,6,SoldSlow
20,7943,4,5,SoldSlow
60,11050,9,5,SoldFast
80,10395,6,6,SoldSlow
60,11885,8,5,SoldFast
20,8402,5,5,SoldSlow
180,1491,4,6,SoldSlow
85,8800,6,7,SoldFast
60,7861,6,5,SoldFast
45,7227,6,6,SoldSlow
20,11694,9,5,SoldFast
60,12244,8,5,SoldFast
30,8248,3,3,SoldSlow
60,10800,6,7,SoldSlow
20,7064,5,6,SoldSlow
160,2117,6,5,SoldFast
60,10400,6,5,SoldFast
20,10000,6,6,SoldFast
20,12342,5,5,SoldSlow
80,9600,6,6,SoldFast
60,11606,5,5,SoldSlow
80,9020,6,5,SoldFast
70,9000,5,6,SoldSlow
120,4590,8,5,SoldFast
20,11900,7,5,SoldFast
20,9250,5,7,SoldSlow
90,6979,6,5,NotSold
190,10896,6,7,SoldSlow
30,6120,2,3,SoldSlow
190,6000,5,4,SoldSlow
30,8777,5,7,SoldSlow
120,3982,8,5,SoldFast
120,12677,8,5,SoldFast
60,7050,7,5,SoldFast
80,13860,8,7,SoldSlow
60,10793,5,5,SoldSlow
20,9187,9,5,SoldFast
20,10530,6,5,SoldFast
20,7200,5,5,SoldSlow
20,10452,6,5,SoldFast
60,7700,6,5,SoldFast
180,1936,4,6,SoldSlow
60,8125,7,6,SoldFast
70,9084,4,5,SoldSlow
60,8750,7,5,SoldFast
50,10320,6,7,SoldFast
20,10437,8,6,SoldFast
160,1680,6,5,SoldSlow
20,10007,5,7,SoldSlow
70,7200,7,6,SoldFast
50,17503,6,5,SoldFast
20,9937,5,7,SoldSlow
60,12384,7,7,SoldFast
60,46589,8,7,SoldFast
20,13560,6,3,SoldFast
85,10012,4,5,SoldSlow
20,20896,8,5,SoldFast
60,11194,8,5,SoldFast
60,18450,6,5,SoldSlow
20,8125,6,5,SoldFast
20,14175,5,6,SoldSlow
30,11600,4,5,SoldSlow
60,8633,6,5,SoldFast
70,6629,6,6,SoldFast
20,11250,6,6,SoldFast
20,14442,6,7,SoldFast
20,9200,6,6,SoldFast
160,2289,6,6,SoldSlow
70,9600,4,2,SoldSlow
30,9022,5,8,SoldSlow
20,11844,8,5,SoldFast
20,9945,5,5,SoldSlow
120,8012,6,5,SoldSlow
50,4500,5,5,SoldFast
120,2887,6,5,SoldFast
20,11248,9,5,SoldFast
60,16770,7,5,SoldFast
160,5062,7,5,SoldFast
60,10207,7,6,SoldFast
160,5105,7,5,SoldFast
20,8089,8,6,SoldFast
120,7577,6,5,SoldFast
120,4426,6,5,SoldSlow
60,21535,10,6,SoldSlow
60,26178,7,5,SoldSlow
30,5400,5,6,SoldSlow
50,6120,5,6,SoldSlow
20,13811,6,6,SoldFast
30,6000,5,7,SoldSlow
20,6420,5,7,SoldSlow
20,8450,5,8,SoldSlow
120,4282,7,5,SoldFast
20,14331,8,5,SoldFast
20,9600,7,5,SoldFast
60,12438,8,5,SoldSlow
190,7630,5,9,SoldSlow
20,8400,7,5,SoldFast
190,5600,4,5,SoldSlow
20,115149,7,5,SoldFast
120,6240,8,5,SoldFast
60,9018,7,5,SoldFast
20,7162,5,7,SoldSlow
30,4130,3,6,SoldSlow
50,8712,4,7,SoldSlow
120,4671,8,5,SoldFast
190,9873,4,5,SoldSlow
60,13517,6,8,SoldFast
20,10140,6,5,SoldFast
70,10800,7,8,SoldSlow
20,10000,5,6,SoldSlow
60,10542,7,5,SoldSlow
20,9920,5,6,SoldSlow
120,6563,8,5,SoldFast
120,4426,6,5,SoldSlow
20,8120,4,7,SoldSlow
50,8172,4,6,SoldSlow
20,13286,9,5,SoldFast
20,6960,4,6,SoldSlow
20,21695,6,9,SoldFast
