MSSubClass,LotArea,OverallQual,OverallCond,SaleStatus
20,7314,7,5,SoldFast
90,11475,5,5,SoldSlow
30,6240,4,5,SoldSlow
120,5389,8,5,SoldFast
80,9590,7,5,SoldFast
60,11404,7,5,SoldFast
20,10000,5,6,SoldSlow
20,8978,5,5,SoldSlow
75,10800,7,7,SoldFast
90,8544,3,4,SoldSlow
60,10463,8,5,SoldFast
90,10800,5,5,SoldSlow
60,9313,7,5,SoldFast
70,9600,5,7,SoldSlow
20,6768,6,8,SoldSlow
20,8450,7,5,SoldFast
80,12886,5,6,SoldSlow
120,5395,8,5,SoldFast
60,8963,8,9,SoldSlow
60,8795,7,5,SoldSlow
70,11700,7,7,SoldSlow
20,10593,7,5,SoldFast
50,8405,4,3,SoldSlow
50,8800,4,7,SoldSlow
60,7750,7,5,SoldFast
20,9236,6,5,SoldFast
60,10240,8,5,SoldFast
20,7930,6,8,SoldFast
160,3230,6,5,SoldFast
60,10769,8,5,SoldFast
60,11616,6,5,SoldFast
160,2280,7,5,SoldFast
60,12257,8,5,SoldSlow
20,9100,6,6,SoldSlow
30,6911,5,5,SoldSlow
60,8640,7,5,SoldFast
60,9430,8,5,SoldFast
120,9549,8,5,SoldFast
20,14587,9,5,SoldFast
60,10421,7,5,SoldFast
50,12508,6,7,SoldFast
20,9100,7,5,SoldFast
60,53504,8,5,SoldSlow
85,7252,5,5,SoldSlow
20,8877,4,5,SoldSlow
80,7819,6,5,SoldFast
20,10150,5,5,SoldSlow
20,14226,8,5,SoldFast
120,4500,6,5,SoldSlow
20,11210,7,5,SoldFast
20,13350,5,5,SoldSlow
90,8400,5,5,SoldSlow
90,10530,6,5,SoldSlow
20,7875,7,5,SoldFast
60,7153,6,5,SoldFast
20,16285,7,5,SoldFast
85,9101,5,6,SoldSlow
75,6300,6,6,SoldFast
20,9790,6,5,SoldFast
50,10800,5,6,SoldSlow
60,10142,7,5,SoldFast
20,6000,4,7,SoldSlow
60,12205,6,8,SoldSlow
120,3182,7,5,SoldFast
80,11333,6,5,SoldFast
60,9920,7,5,SoldFast
20,9158,8,5,SoldFast
60,10832,7,5,SoldFast
60,8400,6,6,SoldFast
20,8197,6,5,SoldFast
20,7677,5,5,SoldSlow
60,13518,9,5,SoldSlow
50,7200,5,7,SoldSlow
60,12798,6,5,SoldFast
30,4800,4,7,SoldSlow
60,8199,7,5,SoldFast
60,13891,9,5,SoldSlow
20,9000,5,5,SoldSlow
20,12274,7,5,SoldFast
80,9750,5,5,SoldSlow
70,21384,5,6,SoldSlow
80,13400,5,5,SoldSlow
75,8100,5,5,SoldSlow
20,10140,6,6,SoldFast
120,4438,6,5,SoldSlow
20,8712,5,5,SoldSlow
20,9750,6,6,SoldFast
50,8248,5,7,SoldSlow
20,12137,7,5,SoldFast
20,11425,5,6,SoldSlow
20,13265,8,5,SoldFast
80,8816,6,7,SoldFast
120,6371,7,5,SoldFast
60,7226,7,5,SoldFast
20,6000,4,4,SoldSlow
60,12394,7,5,SoldFast
50,9900,6,7,SoldFast
20,11216,8,5,SoldFast
20,14803,10,5,SoldFast
45,6130,5,6,SoldSlow
20,8529,7,5,SoldFast
60,28698,5,5,SoldSlow
160,2544,7,5,SoldFast
20,11900,6,5,SoldFast
160,3180,7,5,SoldFast
60,9548,7,6,SoldFast
20,10004,6,6,SoldFast
20,7875,5,6,SoldSlow
20,9600,4,7,SoldSlow
30,8100,5,6,SoldSlow
160,1680,6,5,SoldSlow
20,9525,5,6,SoldSlow
50,11767,5,6,SoldSlow
70,12155,6,8,SoldFast
70,10440,5,8,SoldSlow
80,9020,6,7,SoldFast
90,8000,5,4,SoldSlow
50,12665,5,8,SoldSlow
85,16647,5,5,SoldSlow
60,9317,7,5,SoldFast
20,15523,5,6,SoldSlow
50,45600,6,8,SoldSlow
80,9600,6,7,SoldFast
120,4435,6,5,SoldSlow
120,3196,8,5,SoldFast
75,7128,7,5,SoldFast
80,12095,6,6,SoldFast
20,17920,5,4,SoldSlow
20,6897,5,8,SoldSlow
80,10970,6,6,SoldFast
60,8125,6,5,SoldFast
20,10400,7,5,SoldFast
60,11029,6,7,SoldSlow
50,7642,7,8,SoldFast
190,11625,5,4,SoldSlow
20,9672,6,5,SoldSlow
20,7931,5,5,SoldSlow
20,8640,7,5,SoldFast
20,8750,5,6,SoldSlow
20,10656,8,5,SoldFast
20,6970,4,5,SoldSlow
60,14762,5,6,SoldSlow
60,9938,7,5,SoldFast
20,6600,5,5,SoldSlow
60,8750,6,5,SoldFast
20,8892,5,7,SoldSlow
40,12144,5,7,SoldSlow
50,5720,5,6,SoldSlow
60,9000,8,5,SoldSlow
20,25286,4,5,SoldSlow
60,8834,9,5,SoldFast
85,11782,5,7,SoldSlow
20,7000,5,8,SoldSlow
20,7024,5,5,SoldSlow
50,13758,7,5,SoldFast
60,9636,6,5,SoldFast
75,6204,4,5,SoldSlow
20,7150,5,5,SoldSlow
120,5119,9,5,SoldFast
90,8393,5,5,SoldSlow
50,16466,5,7,SoldFast
20,15865,8,6,SoldFast
20,12160,6,4,SoldFast
50,8064,5,7,SoldSlow
60,11184,6,5,SoldFast
20,8414,6,8,SoldFast
20,13284,5,5,SoldSlow
90,7018,5,5,SoldSlow
60,7056,6,5,SoldFast
30,8765,4,6,SoldSlow
90,7018,5,5,SoldSlow
20,12919,9,5,SoldFast
20,6993,5,7,SoldSlow
20,7340,4,6,SoldSlow
20,8712,5,7,SoldSlow
60,7875,7,5,SoldFast
20,14859,7,5,SoldFast
20,6173,5,6,SoldSlow
20,9920,5,5,SoldSlow
20,13501,8,5,SoldFast
50,11500,7,7,SoldFast
20,8885,5,5,SoldSlow
60,12589,6,5,SoldFast
90,11600,5,5,SoldSlow
20,9286,5,7,SoldSlow
30,6120,5,7,SoldSlow
90,6270,5,6,SoldSlow
160,3000,6,5,SoldSlow
160,2001,4,5,SoldSlow
20,9000,2,3,NotSold
20,17140,4,6,SoldSlow
60,13125,7,5,SoldFast
20,11029,6,8,SoldFast
60,8462,6,5,SoldFast
90,8777,5,7,SoldSlow
20,10237,6,5,SoldFast
120,8012,6,5,SoldFast
20,10240,6,6,SoldFast
20,15611,5,6,SoldSlow
60,11999,8,5,SoldFast
60,9900,7,5,SoldFast
20,11838,8,5,SoldFast
60,13006,7,5,SoldFast
20,8925,8,5,SoldFast
20,9100,5,6,SoldSlow
20,11670,9,5,SoldFast
20,8487,7,5,SoldFast
20,27650,7,7,SoldFast
30,5825,4,5,SoldSlow
20,10083,7,5,SoldFast
60,9675,7,5,SoldFast
60,8760,7,5,SoldFast
70,24090,7,7,SoldSlow
90,12640,6,5,SoldSlow
60,8755,7,5,SoldFast
90,7711,4,3,SoldSlow
90,25000,5,4,SoldSlow
20,14375,6,6,SoldFast
50,8820,5,6,SoldSlow
80,8163,5,6,SoldSlow
20,14536,8,5,SoldFast
60,14006,7,5,SoldFast
20,9360,6,7,SoldFast
20,7200,5,8,SoldSlow
20,7800,5,5,SoldSlow
85,7200,5,8,SoldSlow
60,11075,5,4,SoldSlow
90,9400,6,5,SoldSlow
90,7136,6,6,SoldSlow
160,1300,6,6,SoldFast
20,7420,5,5,SoldSlow
20,8450,7,5,SoldFast
160,2572,7,5,SoldFast
20,7207,5,7,SoldSlow
60,12227,6,7,SoldSlow
160,2308,6,6,SoldFast
20,11923,9,5,SoldFast
60,11316,7,5,SoldFast
60,10237,6,5,SoldFast
50,9600,5,7,SoldSlow
20,7390,5,7,SoldSlow
50,5925,3,6,SoldSlow
190,10382,6,5,SoldSlow
50,10800,4,4,SoldSlow
160,2268,7,5,SoldFast
120,7892,6,5,SoldSlow
20,11639,7,5,SoldFast
70,11414,7,8,SoldFast
160,2651,7,5,SoldFast
30,5900,4,7,SoldSlow
120,4274,7,5,SoldFast
20,9450,4,5,SoldSlow
20,8816,5,6,SoldSlow
85,12122,7,9,SoldFast
60,12203,8,5,SoldSlow
20,3182,7,5,SoldFast
60,11250,8,5,SoldFast
90,10125,5,5,SoldSlow
190,10880,5,5,SoldSlow
50,5310,6,8,SoldFast
20,10159,9,5,SoldFast
60,12046,6,6,SoldSlow
60,8125,7,5,SoldFast
60,9452,8,5,SoldFast
70,17671,8,9,SoldFast
60,9760,6,8,SoldFast
60,8846,6,5,SoldFast
20,12456,10,5,SoldFast
50,4712,4,7,SoldSlow
20,10659,5,6,SoldSlow
20,11717,6,6,SoldFast
30,9786,3,4,SoldSlow
20,6762,7,5,SoldFast
20,10206,3,3,SoldSlow
30,5400,5,6,SoldSlow
20,11957,8,5,SoldFast
90,11500,5,6,SoldSlow
120,3182,7,5,SoldFast
80,8385,5,8,SoldSlow
20,12155,6,3,SoldFast
160,2217,4,4,SoldSlow
20,12118,7,5,SoldFast
50,6000,5,5,SoldSlow
50,21286,5,5,SoldSlow
90,9825,5,5,SoldSlow
70,10592,6,7,SoldFast
30,7200,5,4,SoldSlow
20,11664,6,5,SoldFast
60,8400,8,6,SoldFast
20,11883,7,5,SoldFast
120,5814,8,5,SoldFast
80,10784,7,5,SoldFast
120,3013,7,5,SoldFast
20,7024,4,5,SoldSlow
20,7406,7,5,SoldFast
50,9439,5,5,SoldSlow
120,3182,7,5,SoldFast
20,15498,8,6,SoldSlow
20,7700,5,5,SoldSlow
20,9300,5,5,SoldSlow
20,9520,8,5,SoldFast
50,9492,5,5,SoldSlow
160,1680,6,7,SoldSlow
190,7082,5,8,SoldSlow
75,15863,7,3,SoldSlow
60,14541,8,7,SoldSlow
20,8125,7,5,SoldFast
30,6305,5,7,SoldSlow
20,11500,4,3,SoldSlow
20,12898,9,5,SoldFast
60,9240,8,5,SoldFast
160,1533,4,6,SoldSlow
180,1477,4,4,SoldSlow
20,13125,5,4,SoldSlow
60,9130,6,8,SoldFast
120,5381,6,5,SoldSlow
60,11839,7,5,SoldSlow
20,9600,8,5,SoldSlow
20,13680,3,5,SoldSlow
60,16056,9,5,SoldSlow
20,9245,5,5,SoldSlow
20,21750,5,4,SoldSlow
20,11100,4,7,SoldSlow
20,8993,7,5,SoldFast
20,11175,7,5,SoldFast
60,9500,6,6,SoldFast
20,8562,5,6,SoldFast
60,11367,8,5,SoldFast
20,11361,6,5,SoldFast
120,7052,7,5,SoldFast
60,29959,7,6,SoldFast
60,11308,9,5,SoldFast
50,11275,6,7,SoldFast
120,4920,8,5,SoldFast
30,18000,3,4,SoldSlow
190,13600,5,5,SoldSlow
30,6000,6,6,SoldFast
20,11000,5,6,SoldSlow
60,14000,7,5,SoldSlow
60,7837,6,7,SoldFast
60,9760,6,6,SoldFast
160,3964,6,4,SoldSlow
45,9600,5,7,SoldSlow
20,10152,5,5,SoldSlow
60,11700,6,6,SoldFast
50,7585,5,3,SoldSlow
60,7950,6,6,SoldFast
20,8556,7,5,SoldFast
70,13125,7,6,SoldFast
50,10800,5,8,SoldSlow
20,15870,5,5,SoldSlow
120,4435,6,5,SoldSlow
20,8775,5,5,SoldSlow
20,11040,6,7,SoldFast
20,7500,5,5,SoldSlow
20,8749,7,5,SoldFast
20,8800,6,6,SoldFast
60,13031,6,5,SoldFast
85,9069,6,6,SoldFast
160,1974,4,5,SoldSlow
60,10574,8,5,SoldFast
160,2522,7,5,SoldFast
120,3316,8,5,SoldFast
90,8544,3,4,SoldSlow
160,2160,7,5,SoldFast
50,8400,6,5,SoldFast
20,9230,5,8,SoldSlow
20,5868,5,7,SoldSlow
20,9317,6,5,SoldFast
70,6882,6,7,SoldFast
120,3696,8,5,SoldFast
50,6000,4,6,SoldSlow
20,11880,7,5,SoldFast
30,8400,2,5,SoldSlow
20,9758,5,5,SoldSlow
20,7000,5,7,SoldSlow
20,8910,6,6,SoldFast
160,2016,5,5,SoldSlow
60,12256,8,5,SoldSlow
20,10357,7,5,SoldFast
60,23257,7,5,SoldFast
60,8063,6,5,SoldFast
20,11362,8,5,SoldFast
60,8000,6,5,SoldFast
60,10480,7,6,SoldFast
20,7100,5,7,SoldSlow
20,8923,5,7,SoldSlow
20,5400,5,7,SoldSlow
20,12085,8,5,SoldFast
80,7750,8,5,SoldFast
20,9764,5,7,SoldSlow
80,13825,5,6,SoldFast
20,7560,5,5,SoldSlow
30,8263,6,5,SoldFast
20,10084,7,5,SoldFast
20,8926,4,3,SoldSlow
20,9405,5,9,SoldSlow
80,9125,7,5,SoldFast
20,10434,4,5,SoldSlow
120,3684,7,5,SoldFast
20,14572,7,5,SoldFast
60,11796,7,5,SoldFast
90,7200,5,5,SoldSlow
50,7804,4,3,SoldSlow
20,10712,5,5,SoldSlow
70,9900,6,4,SoldSlow
60,9828,8,5,SoldFast
60,8773,6,5,SoldFast
30,6180,6,5,SoldFast
50,9600,6,5,SoldFast
50,6342,5,8,SoldSlow
20,9819,6,5,SoldFast
30,8731,5,5,SoldSlow
20,7350,5,7,SoldSlow
60,10304,5,7,SoldSlow
60,9965,8,5,SoldSlow
20,9000,5,3,SoldSlow
190,12180,4,4,SoldSlow
50,6240,5,6,SoldSlow
20,11200,6,5,SoldFast
70,12000,7,7,SoldFast
50,5700,7,7,SoldFast
70,9000,7,9,SoldFast
20,8280,6,5,SoldFast
20,17755,5,4,SoldSlow
20,14115,6,7,SoldFast
30,5890,6,8,SoldSlow
60,13700,7,6,SoldFast
20,10768,5,8,SoldSlow
80,9350,5,8,SoldSlow
120,5001,7,5,SoldFast
20,11932,8,5,SoldFast
60,9120,6,6,SoldFast
160,2280,6,5,SoldSlow
20,14778,6,7,SoldFast
20,8724,5,5,SoldSlow
90,12900,4,4,NotSold
80,16157,5,7,SoldSlow
20,9541,7,5,SoldFast
20,10475,8,5,SoldFast
60,10852,6,5,SoldFast
70,13728,6,7,SoldSlow
60,35760,10,5,SoldSlow
80,9880,6,6,SoldFast
20,9120,6,6,SoldFast
160,4017,7,5,SoldFast
50,18030,5,6,SoldSlow
70,16560,6,8,SoldSlow
50,10678,8,5,SoldSlow
20,6951,5,5,SoldSlow
50,3950,6,8,SoldFast
50,7681,5,6,SoldSlow
20,8335,5,5,SoldSlow
60,11170,7,5,SoldSlow
120,5587,8,5,SoldFast
60,15623,10,5,SoldSlow
30,10800,5,6,SoldSlow
20,35133,5,4,SoldSlow
50,9738,5,7,SoldSlow
190,10615,3,5,SoldSlow
20,12461,8,5,SoldFast
60,8935,7,5,SoldFast
60,7500,7,5,SoldFast
190,32463,4,4,SoldSlow
160,2645,8,5,SoldFast
50,9600,5,8,SoldSlow
120,4500,6,5,SoldSlow
60,9364,6,7,SoldFast
60,8029,6,5,SoldFast
60,14054,7,5,SoldFast
75,8850,7,6,SoldFast
20,9100,7,5,SoldFast
20,11235,4,5,SoldSlow
20,9353,4,5,SoldSlow
60,10400,7,5,SoldFast
50,6000,5,8,SoldSlow
20,9750,7,5,SoldFast
20,10140,5,6,SoldSlow
20,14684,7,7,SoldFast
20,8900,4,4,SoldSlow
20,9135,6,5,SoldFast
20,7763,5,7,SoldSlow
20,10182,8,5,SoldFast
60,11218,6,5,SoldSlow
50,12134,8,7,SoldFast
30,9340,4,6,SoldSlow
80,10246,4,9,NotSold
85,10205,5,5,SoldSlow
20,7094,5,5,SoldSlow
90,8930,6,5,SoldSlow
20,8640,8,5,SoldFast
50,6240,4,5,SoldSlow
160,1680,6,5,SoldFast
20,7800,5,5,SoldSlow
20,8250,5,5,SoldSlow
50,10496,6,6,SoldFast
20,10680,5,3,SoldSlow
60,15384,7,5,SoldFast
80,10482,6,8,SoldFast
60,14598,6,5,SoldSlow
20,8872,5,8,SoldSlow
120,8769,9,5,SoldFast
80,7910,5,5,SoldSlow
90,18890,5,5,SoldSlow
90,7728,5,6,SoldSlow
90,9842,4,5,SoldSlow
20,12160,5,5,SoldSlow
70,8525,5,6,SoldSlow
70,13132,5,5,SoldSlow
160,2628,7,5,SoldFast
60,12393,7,5,SoldFast
20,13072,6,5,SoldFast
20,9037,8,5,SoldFast
60,8158,7,5,SoldFast
20,9849,7,6,SoldFast
85,10625,7,6,SoldFast
20,13891,10,5,SoldFast
70,11435,8,7,SoldFast
80,12090,6,7,SoldFast
60,8125,7,5,SoldFast
80,12328,6,5,SoldFast
75,9600,6,5,SoldFast
20,7200,5,7,SoldSlow
20,11160,7,5,SoldFast
120,3136,7,5,SoldFast
20,9858,5,6,SoldSlow
60,17542,7,7,SoldFast
60,6931,7,5,SoldFast
50,6240,6,6,SoldFast
20,14303,8,5,SoldFast
30,4060,5,8,SoldSlow
80,9587,7,5,SoldFast
20,9750,6,8,SoldFast
60,24682,6,5,SoldFast
20,9600,5,6,SoldSlow
50,11250,4,5,SoldSlow
70,13515,6,6,SoldFast
120,4060,6,5,SoldFast
160,3735,7,5,SoldFast
190,10120,7,4,SoldFast
20,13214,9,5,SoldFast
50,14100,8,9,SoldSlow
50,11344,5,5,SoldSlow
40,23595,7,6,NotSold
20,9156,6,7,SoldFast
20,13526,5,6,SoldSlow
80,11512,6,7,SoldFast
50,5362,5,6,SoldSlow
90,11345,5,5,SoldSlow
60,12936,6,6,SoldFast
80,17871,6,5,SoldFast
60,9473,8,5,SoldFast
50,7500,4,4,SoldSlow
20,9808,7,5,SoldFast
20,8049,7,5,SoldFast
20,8800,5,7,SoldSlow
90,9400,6,5,SoldSlow
50,9638,6,7,SoldSlow
50,6000,6,6,SoldFast
20,9790,6,5,SoldFast
20,36500,5,5,SoldSlow
120,5664,8,5,SoldFast
60,11065,8,5,SoldFast
80,14112,5,7,SoldSlow
160,1680,5,7,SoldSlow
70,6600,5,4,SoldSlow
60,10140,7,5,SoldFast
20,8172,5,7,SoldSlow
20,8400,5,5,SoldSlow
20,8700,5,6,SoldSlow
180,3675,6,5,SoldSlow
60,63887,10,5,SoldSlow
20,7500,5,7,SoldSlow
60,10762,7,5,SoldFast
70,7500,6,7,SoldFast
60,10120,8,5,SoldSlow
20,8688,7,5,SoldFast
160,3363,7,5,SoldFast
20,13173,9,5,SoldFast
120,6955,7,5,SoldFast
20,8072,5,5,SoldSlow
20,12000,5,7,SoldSlow
20,7153,6,5,SoldFast
20,17500,7,8,SoldFast
20,8814,7,5,SoldFast
60,9572,8,5,SoldSlow
60,14774,9,5,SoldFast
20,8190,4,6,SoldSlow
60,11075,6,5,SoldSlow
20,10226,8,5,SoldFast
120,4230,7,5,SoldFast
20,14781,8,5,SoldFast
20,10215,4,5,SoldSlow
20,8400,6,3,SoldFast
20,6627,3,6,SoldSlow
60,10186,7,5,SoldFast
30,5330,4,7,SoldSlow
20,9986,8,5,SoldFast
30,3636,4,4,SoldSlow
30,4270,3,6,SoldSlow
20,6600,5,9,SoldSlow
50,10440,6,7,SoldSlow
60,9084,7,5,SoldFast
20,10000,8,5,SoldFast
80,10780,5,5,SoldSlow
20,8877,4,6,SoldSlow
50,7200,5,6,SoldSlow
160,2368,5,6,SoldSlow
20,9650,6,5,SoldFast
90,9246,5,5,SoldSlow
30,4118,4,4,SoldSlow
60,13450,7,5,SoldFast
20,9560,5,7,SoldSlow
20,8294,4,5,SoldSlow
20,13695,6,5,SoldFast
60,9375,8,5,SoldFast
50,7558,6,6,SoldFast
60,11103,7,5,SoldFast
30,6000,4,4,SoldSlow
20,20781,7,7,SoldFast
20,15306,8,5,SoldFast
20,16196,7,5,SoldFast
70,5250,8,5,SoldFast
90,11643,5,5,SoldSlow
60,9247,6,6,SoldFast
50,6000,6,9,SoldFast
50,14720,8,5,SoldSlow
60,10316,7,5,SoldFast
80,10192,7,6,SoldFast
20,9477,5,5,SoldSlow
20,12537,5,6,SoldSlow
160,2117,6,5,SoldSlow
20,16737,9,5,SoldFast
70,9842,5,6,SoldSlow
20,16158,7,5,SoldFast
50,12513,4,4,SoldSlow
60,8499,6,5,SoldFast
160,3180,7,5,SoldFast
60,7500,7,5,SoldFast
60,9179,7,5,SoldFast
160,2665,5,6,SoldSlow
120,4435,6,5,SoldSlow
20,10635,8,5,SoldFast
50,5400,4,6,SoldSlow
80,9600,6,6,SoldFast
60,9750,7,6,SoldFast
20,11400,10,5,SoldFast
60,10625,7,5,SoldFast
20,10991,8,5,SoldFast
30,6292,6,5,SoldSlow
50,10998,5,5,SoldSlow
160,1953,6,5,SoldSlow
80,9735,5,5,SoldSlow
30,8212,3,3,SoldSlow
20,12925,6,7,SoldSlow
70,7200,7,7,SoldFast
30,25339,5,7,SoldSlow
50,9060,6,5,SoldFast
50,5436,4,8,SoldSlow
60,16692,7,5,SoldSlow
50,8520,6,7,SoldSlow
20,14892,9,5,SoldFast
50,6000,6,6,SoldFast
20,9100,7,5,SoldFast
90,8944,5,5,SoldSlow
85,7838,5,5,SoldSlow
190,10800,6,7,SoldSlow
120,4045,7,5,SoldFast
60,12665,8,5,SoldFast
20,57200,5,5,SoldSlow
70,6120,5,8,SoldSlow
50,7200,5,4,SoldSlow
50,6171,6,6,SoldFast
50,6000,6,7,SoldFast
60,7415,6,5,SoldFast
20,6762,7,5,SoldFast
20,15256,8,5,SoldFast
50,10410,3,4,SoldSlow
120,3842,8,5,SoldFast
85,8445,5,7,SoldSlow
20,8780,5,5,SoldSlow
70,7740,4,7,SoldSlow
60,20544,7,6,SoldFast
60,12420,7,5,SoldFast
50,9600,6,8,SoldFast
90,7200,4,5,SoldSlow
20,10994,8,5,SoldFast
50,13053,6,7,SoldFast
120,3635,7,5,SoldFast
190,11340,4,6,SoldSlow
60,16545,8,5,SoldFast
20,9204,5,5,SoldSlow
20,16381,6,5,SoldFast
60,11700,6,6,SoldFast
120,4043,6,5,SoldSlow
120,4435,6,5,SoldSlow
80,19690,6,7,SoldSlow
20,9503,5,5,SoldSlow
20,10721,6,6,SoldFast
60,10944,7,5,SoldFast
50,10930,5,6,SoldSlow
30,7200,5,7,SoldSlow
20,12546,6,7,SoldFast
60,21930,5,5,SoldSlow
120,4928,6,6,SoldSlow
30,10800,4,6,SoldSlow
60,10261,6,5,SoldFast
20,17400,5,5,SoldSlow
20,8400,6,9,SoldFast
20,9000,4,6,SoldSlow
20,12444,8,5,SoldFast
20,7407,6,7,SoldFast
60,11584,7,6,SoldFast
70,11526,6,7,SoldSlow
120,4426,6,5,SoldSlow
60,11003,10,5,SoldFast
30,8854,6,6,SoldFast
20,8500,7,5,SoldFast
85,8400,6,5,SoldFast
20,26142,5,7,SoldSlow
60,10000,8,5,SoldFast
50,11767,4,7,SoldSlow
180,1533,5,7,SoldSlow
90,9000,5,5,SoldSlow
20,9262,8,5,SoldFast
180,3675,5,5,SoldSlow
20,17217,5,5,SoldSlow
20,7500,7,5,SoldFast
60,7917,6,5,SoldFast
20,13175,6,6,SoldSlow
70,9042,7,9,SoldSlow
20,9717,5,6,SoldSlow
20,9937,5,6,SoldSlow
